
2024/06/05 (12:35:55) | ===> btop++ v.1.3.2
2024/06/05 (12:35:55) | INFO: Logger set to DEBUG
2024/06/05 (12:35:55) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/05 (12:35:55) | INFO: Running on /dev/pts/0
2024/06/05 (12:35:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (12:35:55) | DEBUG: Shared::init() : Initialized.
2024/06/05 (12:35:55) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/06/05 (12:35:57) | DEBUG: Writing new config file
2024/06/05 (12:35:57) | INFO: Quitting! Runtime: 00:00:02

2024/06/05 (12:36:01) | ===> btop++ v.1.3.2
2024/06/05 (12:36:01) | INFO: Logger set to DEBUG
2024/06/05 (12:36:01) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/05 (12:36:01) | INFO: Running on /dev/pts/1
2024/06/05 (12:36:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (12:36:01) | DEBUG: Shared::init() : Initialized.
2024/06/05 (12:36:01) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/06/05 (12:36:23) | INFO: Quitting! Runtime: 00:00:22

2024/06/05 (17:48:41) | ===> btop++ v.1.3.2
2024/06/05 (17:48:41) | INFO: Logger set to DEBUG
2024/06/05 (17:48:41) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/05 (17:48:41) | INFO: Running on /dev/pts/2
2024/06/05 (17:48:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (17:48:42) | DEBUG: Shared::init() : Initialized.
2024/06/05 (17:48:42) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/06/05 (17:52:17) | INFO: Quitting! Runtime: 00:03:36

2024/06/05 (20:55:12) | ===> btop++ v.1.3.2
2024/06/05 (20:55:12) | INFO: Logger set to DEBUG
2024/06/05 (20:55:12) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/05 (20:55:12) | INFO: Running on /dev/pts/0
2024/06/05 (20:55:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (20:55:12) | DEBUG: Shared::init() : Initialized.
2024/06/05 (20:55:12) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/06/05 (20:57:56) | INFO: Quitting! Runtime: 00:02:44

2024/06/05 (21:26:26) | ===> btop++ v.1.3.2
2024/06/05 (21:26:26) | INFO: Logger set to DEBUG
2024/06/05 (21:26:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/05 (21:26:26) | INFO: Running on /dev/pts/4
2024/06/05 (21:26:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/05 (21:26:26) | DEBUG: Shared::init() : Initialized.
2024/06/05 (21:26:26) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/06/05 (21:32:21) | INFO: Quitting! Runtime: 00:05:55

2024/06/06 (00:45:46) | ===> btop++ v.1.3.2
2024/06/06 (00:45:46) | INFO: Logger set to DEBUG
2024/06/06 (00:45:46) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/06 (00:45:46) | INFO: Running on /dev/pts/0
2024/06/06 (00:45:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/06 (00:45:46) | DEBUG: Shared::init() : Initialized.
